institution,num_students,international_students_%,year
University of South Africa,197102.00,0.09,2016
Southern Federal University,27556.00,0.03,2016
University of Southern Mississippi,14569.00,0.03,2016
University of Southern Queensland,13761.00,0.21,2016
Suez Canal University,16817.00,,2016
Sultan Qaboos University,7089.00,0.03,2016
Suranaree University of Technology,12650.00,0.01,2016
University of Szeged,22684.00,0.09,2016
Taipei Medical University,6001.00,0.06,2016
Taras Shevchenko National University of Kyiv,22686.00,0.02,2016
Technical University of Madrid,41500.00,0.11,2016
University of Tehran,53802.00,0.01,2016
University of Texas at El Paso,19123.00,0.07,2016
Texas Tech University,29512.00,0.07,2016
Tokai University,29700.00,0.01,2016
Tokushima University,7519.00,0.03,2016
Tokyo University of Marine Science and Technology,2597.00,0.07,2016
Tokyo University of Science,20243.00,0.02,2016
Tomsk State University,10413.00,0.12,2016
Tottori University,6248.00,0.02,2016
Toyohashi University of Technology,2153.00,0.09,2016
Universiti Kebangsaan Malaysia,24227.00,0.12,2016
Universiti Putra Malaysia,23883.00,0.16,2016
Universiti Sains Malaysia,28179.00,0.1,2016
Universiti Teknologi MARA,69268.00,0,2016
Ural Federal University,28427.00,0.03,2016
V.N. Karazin Kharkiv National University,14410.00,0.22,2016
University of Vigo,22793.00,0.03,2016
Vilnius University,19019.00,0.04,2016
Warsaw University of Technology,34572.00,0.03,2016
Waseda University,52316.00,0.08,2016
University of West Bohemia,15639.00,0.02,2016
University of the West of England,22525.00,0.15,2016
West University of Timişoara,12933.00,0.03,2016
University of Westminster,16609.00,0.43,2016
Xidian University,31618.00,0.02,2016
Yeungnam University,21958.00,0.03,2016
Yıldız Technical University,31268.00,0.02,2016
Yokohama City University,4122.00,0.03,2016
Yokohama National University,10117.00,0.08,2016
Yuan Ze University,8663.00,0.04,2016
